date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2024-01-01,-9.35,2.81,30,"1994-01-01 2023-01-01",78.97,3.65,30,"1994-01-01 2023-01-01",-0.92,3.48,30,"1994-01-01 2023-01-01",28.01,4.65,30,"1994-01-01 2023-01-01",-16.66,3.22,30,"1994-01-01 2023-01-01",49.08,5.3,30,"1994-01-01 2023-01-01",-12.7,3.29,30,"1994-01-01 2023-01-01",2.36,1.03,30,"1994-01-01 2023-01-01",11.1,6.84,30,"1994-01-01 2023-01-01",0.15,0.33,30,"1994-01-01 2023-01-01",17.01,9.06,30,"1994-01-01 2023-01-01",5.3,4.53,30,"1994-01-01 2023-01-01",,,,
2023-12-01,-9.28,2.88,30,"1993-12-01 2022-12-01",79.84,4.98,30,"1993-12-01 2022-12-01",-1.07,4.11,30,"1993-12-01 2022-12-01",27.65,4.18,30,"1993-12-01 2022-12-01",-16.29,3.4,30,"1993-12-01 2022-12-01",50.18,6.29,30,"1993-12-01 2022-12-01",-12.5,3.65,30,"1993-12-01 2022-12-01",2.36,0.9,30,"1993-12-01 2022-12-01",15.12,10.64,30,"1993-12-01 2022-12-01",0.3,0.69,30,"1993-12-01 2022-12-01",19.98,12.27,30,"1993-12-01 2022-12-01",5.2,4.76,30,"1993-12-01 2022-12-01",,,,
2023-11-01,-5.42,2.04,30,"1993-11-01 2022-11-01",81.47,3.79,30,"1993-11-01 2022-11-01",3.73,3.41,30,"1993-11-01 2022-11-01",27.97,3.14,30,"1993-11-01 2022-11-01",-11.81,2.43,30,"1993-11-01 2022-11-01",47.1,7.71,30,"1993-11-01 2022-11-01",-7.65,2.76,30,"1993-11-01 2022-11-01",2.35,1.04,30,"1993-11-01 2022-11-01",16.42,10.72,30,"1993-11-01 2022-11-01",1.28,1.56,30,"1993-11-01 2022-11-01",19.66,12.02,30,"1993-11-01 2022-11-01",2.6,2.23,30,"1993-11-01 2022-11-01",,,,
2023-10-01,-0.09,1.24,30,"1993-10-01 2022-10-01",80.65,5.33,30,"1993-10-01 2022-10-01",11.47,2.5,30,"1993-10-01 2022-10-01",28.12,3.04,30,"1993-10-01 2022-10-01",-5.87,1.44,30,"1993-10-01 2022-10-01",40.21,6.45,30,"1993-10-01 2022-10-01",-1.09,1.49,30,"1993-10-01 2022-10-01",2.68,1.08,30,"1993-10-01 2022-10-01",20,12.04,30,"1993-10-01 2022-10-01",9.32,6.04,30,"1993-10-01 2022-10-01",12.25,11.14,30,"1993-10-01 2022-10-01",1.4,1.82,28,"1993-10-01 2022-10-01",,,,
2023-09-01,5.6,1.04,30,"1993-09-01 2022-09-01",81.97,6.22,30,"1993-09-01 2022-09-01",18.49,2.63,30,"1993-09-01 2022-09-01",26.58,1.94,30,"1993-09-01 2022-09-01",0.46,1.14,30,"1993-09-01 2022-09-01",38.94,7.01,30,"1993-09-01 2022-09-01",4.95,1.37,30,"1993-09-01 2022-09-01",2.45,1.15,30,"1993-09-01 2022-09-01",35.07,21.79,30,"1993-09-01 2022-09-01",30.79,20.86,30,"1993-09-01 2022-09-01",3.45,8.02,30,"1993-09-01 2022-09-01",0.6,1.89,24,"1993-09-01 2020-09-01",,,,
2023-08-01,10.39,1.24,30,"1993-08-01 2022-08-01",84.59,4.96,30,"1993-08-01 2022-08-01",23.19,2.02,30,"1993-08-01 2022-08-01",26.61,1.62,30,"1993-08-01 2022-08-01",5.13,1.36,30,"1993-08-01 2022-08-01",39.12,7.12,30,"1993-08-01 2022-08-01",9.41,1.26,30,"1993-08-01 2022-08-01",2.02,0.88,30,"1993-08-01 2022-08-01",56.4,27.56,30,"1993-08-01 2022-08-01",55.72,27.7,30,"1993-08-01 2022-08-01",0,0,30,"1993-08-01 2022-08-01",0,0,19,"1993-08-01 2011-08-01",,,,
2023-07-01,12.03,1.36,30,"1993-07-01 2022-07-01",85.7,4.17,30,"1993-07-01 2022-07-01",23.73,1.88,30,"1993-07-01 2022-07-01",28.33,1.82,30,"1993-07-01 2022-07-01",6.22,1.3,30,"1993-07-01 2022-07-01",41.17,5.54,30,"1993-07-01 2022-07-01",10.48,1.29,30,"1993-07-01 2022-07-01",2.38,0.85,30,"1993-07-01 2022-07-01",67.27,38.93,30,"1993-07-01 2022-07-01",66.66,37.23,30,"1993-07-01 2022-07-01",0,0,30,"1993-07-01 2022-07-01",0,0,21,"1993-07-01 2019-07-01",,,,
2023-06-01,8.73,1.17,30,"1993-06-01 2022-06-01",84.68,5.24,30,"1993-06-01 2022-06-01",19.88,1.56,30,"1993-06-01 2022-06-01",29.27,1.41,30,"1993-06-01 2022-06-01",3.1,1.36,30,"1993-06-01 2022-06-01",41.94,6.65,30,"1993-06-01 2022-06-01",7.8,1.13,30,"1993-06-01 2022-06-01",2.95,0.94,30,"1993-06-01 2022-06-01",100.63,47.19,30,"1993-06-01 2022-06-01",99.92,47.44,30,"1993-06-01 2022-06-01",0.13,0.68,30,"1993-06-01 2022-06-01",0,0,21,"1993-06-01 2019-06-01",,,,
2023-05-01,3.49,1.34,30,"1993-05-01 2022-05-01",80.33,5.8,30,"1993-05-01 2022-05-01",16.32,2.01,30,"1993-05-01 2022-05-01",29.9,1.99,30,"1993-05-01 2022-05-01",-2.27,1.62,30,"1993-05-01 2022-05-01",37.28,5.94,30,"1993-05-01 2022-05-01",3.37,1.43,30,"1993-05-01 2022-05-01",3.26,0.96,30,"1993-05-01 2022-05-01",56.22,28.26,30,"1993-05-01 2022-05-01",47.97,28.44,30,"1993-05-01 2022-05-01",8.81,10.38,30,"1993-05-01 2022-05-01",0.5,1.34,27,"1993-05-01 2022-05-01",,,,
2023-04-01,-1.7,1.6,30,"1993-04-01 2022-04-01",80.1,5.08,30,"1993-04-01 2022-04-01",10.43,2.34,30,"1993-04-01 2022-04-01",29.81,2.59,30,"1993-04-01 2022-04-01",-7.76,1.86,30,"1993-04-01 2022-04-01",37.35,6.29,30,"1993-04-01 2022-04-01",-2.13,1.53,30,"1993-04-01 2022-04-01",3.39,1.03,30,"1993-04-01 2022-04-01",29.84,20.68,30,"1993-04-01 2022-04-01",11.68,14.83,30,"1993-04-01 2022-04-01",21.82,17.18,30,"1993-04-01 2022-04-01",1.4,1.52,29,"1993-04-01 2022-04-01",,,,
2023-03-01,-5.62,2.26,30,"1993-03-01 2022-03-01",81.82,4.11,30,"1993-03-01 2022-03-01",3.96,4.11,30,"1993-03-01 2022-03-01",28.39,3.41,30,"1993-03-01 2022-03-01",-12.27,2.49,30,"1993-03-01 2022-03-01",44.42,9.25,30,"1993-03-01 2022-03-01",-7.72,3.15,30,"1993-03-01 2022-03-01",2.79,1.04,30,"1993-03-01 2022-03-01",17.04,12.23,30,"1993-03-01 2022-03-01",0.93,1.29,30,"1993-03-01 2022-03-01",22.73,15.13,30,"1993-03-01 2022-03-01",3.1,2.98,30,"1993-03-01 2022-03-01",,,,
